task,train_size,lr,strat,stop_ep,gap,max_jump,roughness,room_after_decide,_cid
cifar10,6000,0.003,smart_meta,11,0.009599998593330383,0.044460148316342596,0.020021818974835077,0.031947555285291585,33
cifar10,6000,0.003,param,11,0.009599998593330383,0.044460148316342596,0.020021818974835077,0.031947555285291585,33
cifar10,300,0.001,early,43,0.0,4.1485267274210536e-05,5.6892120050341845e-06,0.000728308352271112,34
cifar10,300,0.001,smart_trend,11,0.0,4.1485267274210536e-05,5.6892120050341845e-06,0.000728308352271112,34
cifar10,300,0.001,smart_meta,11,0.0,4.1485267274210536e-05,5.6892120050341845e-06,0.000728308352271112,34
cifar10,300,0.001,param,11,0.0,4.1485267274210536e-05,5.6892120050341845e-06,0.000728308352271112,34
cifar10,6000,0.0005,early,38,0.005199998617172241,0.03658207597014451,0.014298764102505038,0.0602229806848158,35
cifar10,6000,0.0005,smart_trend,11,0.024999991059303284,0.03658207597014451,0.014298764102505038,0.0602229806848158,35
cifar10,6000,0.0005,smart_meta,11,0.024999991059303284,0.03658207597014451,0.014298764102505038,0.0602229806848158,35
cifar10,6000,0.0005,param,11,0.024999991059303284,0.03658207597014451,0.014298764102505038,0.0602229806848158,35
cifar10,300,0.0005,early,59,0.012699991464614868,0.018873130166592422,0.008873665003492372,0.04363471490058923,36
cifar10,300,0.0005,smart_trend,11,0.023399993777275085,0.018873130166592422,0.008873665003492372,0.04363471490058923,36
cifar10,300,0.0005,smart_meta,11,0.023399993777275085,0.018873130166592422,0.008873665003492372,0.04363471490058923,36
cifar10,300,0.0005,param,11,0.023399993777275085,0.018873130166592422,0.008873665003492372,0.04363471490058923,36
cifar10,2000,0.003,early,20,0.0,5.8874523619856234e-05,3.631934550015224e-05,4.947525756826554e-05,37
cifar10,2000,0.003,smart_trend,11,0.0,5.8874523619856234e-05,3.631934550015224e-05,4.947525756826554e-05,37
cifar10,2000,0.003,smart_meta,11,0.0,5.8874523619856234e-05,3.631934550015224e-05,4.947525756826554e-05,37
cifar10,2000,0.003,param,11,0.0,5.8874523619856234e-05,3.631934550015224e-05,4.947525756826554e-05,37
cifar10,6000,0.005,early,18,0.01910001039505005,0.10787621872676123,0.04183812962938956,0.03778827830280396,38
cifar10,6000,0.005,smart_trend,11,0.024199992418289185,0.10787621872676123,0.04183812962938956,0.03778827830280396,38
cifar10,6000,0.005,smart_meta,11,0.024199992418289185,0.10787621872676123,0.04183812962938956,0.03778827830280396,38
cifar10,6000,0.005,param,11,0.024199992418289185,0.10787621872676123,0.04183812962938956,0.03778827830280396,38
cifar10,800,0.005,early,18,0.03669998049736023,0.47905831669944376,0.13252319270036125,0.013867908385349237,39
cifar10,800,0.005,smart_trend,15,0.03669998049736023,0.47905831669944376,0.13252319270036125,0.013867908385349237,39
cifar10,800,0.005,smart_meta,11,0.052499979734420776,0.47905831669944376,0.13252319270036125,0.013867908385349237,39
cifar10,800,0.005,param,11,0.052499979734420776,0.47905831669944376,0.13252319270036125,0.013867908385349237,39
cifar10,2000,0.001,early,24,0.015799999237060547,0.1362138822015292,0.03934391505453578,0.04743416226926633,40
cifar10,2000,0.001,smart_trend,16,0.028400003910064697,0.1362138822015292,0.03934391505453578,0.04743416226926633,40
cifar10,2000,0.001,smart_meta,11,0.060100018978118896,0.1362138822015292,0.03934391505453578,0.04743416226926633,40
cifar10,2000,0.001,param,11,0.060100018978118896,0.1362138822015292,0.03934391505453578,0.04743416226926633,40
cifar10,2000,0.001,early,21,0.015799999237060547,0.1912460988465441,0.05178106514570435,0.04286731018033518,41
cifar10,2000,0.001,smart_trend,15,0.03349998593330383,0.1912460988465441,0.05178106514570435,0.04286731018033518,41
